,matchID,total kills,total deaths,total assists,Damage Dealt,Damage Taken,Summoner Avg Level,Total Gold Earned,#Assassins,#Fighters,#Mages,#Marksman,#Supports,#Tanks,WIN/LOSS?
81,NA1_4151275417,27,47,47,85152,141526,1171,57333,1,2,3,0,2,2,0
0,NA1_4171434055,50,55,126,147714,164696,1145,73396,1,2,2,1,2,1,1
1,NA1_4171434055,55,50,144,150727,168902,796,78239,3,2,1,1,2,1,0
2,NA1_4170280795,49,47,98,116739,114273,1248,65160,1,2,3,2,1,0,1
3,NA1_4170280795,46,49,99,107460,130359,2145,62084,0,2,1,3,0,2,0
4,NA1_4170225087,58,46,110,158528,100883,1216,72068,4,0,3,1,0,0,1
5,NA1_4170225087,46,58,86,95676,171168,2145,70564,3,0,4,0,2,0,0
6,NA1_4170158970,61,62,129,140644,169955,1066,75419,3,3,0,2,1,1,1
7,NA1_4170158970,62,61,141,151057,152605,1834,76753,3,1,2,1,1,1,0
8,NA1_4170143423,40,31,98,85036,101104,2033,62987,2,2,2,1,2,0,1
9,NA1_4170143423,31,41,92,88421,90732,1043,57236,0,0,5,0,2,1,0
10,NA1_4170108549,44,33,111,87388,66687,1623,55042,2,1,3,2,1,0,1
11,NA1_4170108549,33,44,48,62757,94222,2033,50278,3,2,1,2,0,0,0
12,NA1_4170072943,41,42,98,99707,125654,1894,65603,1,2,2,1,2,1,1
13,NA1_4170072943,42,41,124,109640,105918,1002,61716,0,1,2,2,2,1,0
14,NA1_4170046788,57,29,128,89224,93307,2354,58778,2,3,2,1,1,0,1
15,NA1_4170046788,28,57,73,82892,91611,1440,50722,1,0,2,1,2,0,0
16,NA1_4168797695,61,45,137,190320,149360,1222,86090,2,0,3,2,1,0,1
